AP 589 SUPPLEMENTAL COMPETENCE V
"Through this competence area, students identify an additional area from among Theories, Research Methods, Specialized Skills, Communication Modes, Organizational/Interpersonal Dynamics, Larger Contexts, Ethical Issues and Reflection in/on Practice regarding which to develop and demonstrate competence. (AP-586, AP-587, AP-588 and AP-589 collectively serve as a culmination option for the MAAPS degree.)"
Overall Rating,Class Status,Credit Hours,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,Catherine,Marienau,12:00 AM,12:00 AM,201,23699,Off Campus,
N/A,Open,2,Arieahn,Matamonasa-Bennett,12:00 AM,12:00 AM,202,23700,Off Campus,
N/A,Open,2,Russell,Rogers,12:00 AM,12:00 AM,203,23701,Off Campus,
N/A,Open,2,Gabriele,Strohschen,12:00 AM,12:00 AM,204,23702,Off Campus,
N/A,Open,2,Michelle,Navarre Cleary,12:00 AM,12:00 AM,205,23703,Off Campus,
N/A,Open,2,Ruth,Gannon Cook,12:00 AM,12:00 AM,206,23704,Off Campus,
5.0,Open,2,Ann,Stanford,12:00 AM,12:00 AM,207,24133,Off Campus,
N/A,Open,2,Caroline,Kisiel,,,208,26188,Off Campus,
