AI 176 CREATIVE WRITING
"Designed to help you explore the art of writing stories, either stories that are ""made-up"" or stories based on lived experience. You will be required to complete six fiction-writing exercises, and either one short story, one autobiographical story, or one story based on an oral history collected by the you. In addition, you write a final essay in which you reflect on your learning and experience in the course."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
N/A,Open,2,23774,Molia,Dumbleton,12:00 AM,12:00 AM,801,23774,OnLine,
N/A,Open,2,23775,Molia,Dumbleton,12:00 AM,12:00 AM,802,23775,OnLine,
N/A,Open,2,23776,Molia,Dumbleton,12:00 AM,12:00 AM,803,23776,OnLine,
N/A,Open,2,26252,Nina,Kutty,,,804,26252,OnLine,
N/A,Open,2,26253,Nina,Kutty,,,805,26253,OnLine,
N/A,Open,2,26254,Nina,Kutty,,,806,26254,OnLine,
