MEN 300 AFRICAN MUSIC ENSEMBLE
"Students will learn musical techniques and repertory from cultures of Africa and the African diaspora. Course activities may include instrumental techniques, singing, and dancing. No prior experience with African music necessary."
Overall Rating,Class Status,Credit Hours,Class Number,Teacher First Name,Teacher Last Name,Class Start Time,Class End Time,Class Section,Class Number,Location,Days
3.8,Open,1,22011,Katherine,Brucher,6:00 PM,8:00 PM,201,22011,Lincoln Park Campus,Monday
5.0,Open,1,22011,Avo,Randruut,6:00 PM,8:00 PM,201,22011,Lincoln Park Campus,Monday
